AFNOR;SANDRE;DENOMINATION;CL1;CL2;CL3;CL4;CL5;CL6;CL7;Val.Ind.;Origine
GPEL;14119;Gomphonema pumilum var, elegans Reichardt et Lange-Bertalot                                                                               ;0;0;0;0,00001;0;0;0,99999;1,666435796;L-P
GPGL;14149;Gomphosphenia grovei var, lingulata (Hustedt) Lange-Bertalot                                                                              ;0,01932;0,54181;0,30861;0,12377;0,00649;0;0;1,069778042;L-P
GPGR;14150;Gomphosphenia grovei (M, Schmidt) Lange-Bertalot var, grovei                                                                              ;0;0,01305;0,98695;0;0;0;0;1,646271767;L-P
GPHQ;14152;Gomphosphenia holmquistii (Foged) Lange-Bertalot var, holmquistii                                                                         ;0,00017;0,18872;0,58508;0,2207;0,00495;0,00037;0,00001;1,100304272;T-Cor
GPLA;7706;Gomphonema parvulum var, lagenula (Kützing) Frenguelli                                                                                    ;0,02507;0,15079;0,69503;0,09126;0,03638;0,00104;0,00043;1,21291524;T-Cor
GPLI;14125;Gomphosphenia lingulatiformis (Lange-Bertalot et Reichardt) Lange-Bertalot                                                                ;0,00017;0,18872;0,58508;0,2207;0,00495;0,00037;0,00001;1,100304272;L-P
GPMI;7707;Gomphonema parvulum var, micropus (Kützing) Cleve                                                                                         ;0,0015;0,01013;0,1034;0,28931;0,34208;0,14939;0,1042;0,792615583;T-Cor
GPNE;14153;Gomphonema parvulum var, neosaprophilum Kobayasi ex Osada                                                                                 ;0,02507;0,15079;0,69503;0,09126;0,03638;0,00104;0,00043;1,21291524;T-Cor
GPPA;7708;Gomphonema parvulum var, parvulius Lange-Bertalot et Reichardt                                                                            ;0,00102;0,00047;0,00036;0,00907;0,09768;0,11391;0,77749;1,335259502;T-Cor
GPRC;7712;Gomphonema procerum Reichardt et Lange-Bertalot                                                                                           ;0;0;0;0,08016;0,09456;0,82528;0;1,404648177;L-P
GPRI;14132;Gomphonema pumilum var, rigidum Reichardt et Lange-Bertalot                                                                               ;0,00557;0;0,07716;0,30675;0,40494;0,20473;0,00085;0,914698287;L-P
GPRO;7713;Gomphonema productum (Grunow) Lange-Bertalot et Reichardt                                                                                 ;0,00338;0,05472;0,1104;0,34352;0,24455;0,12597;0,11746;0,739902251;L-P
GPSA;7714;Gomphonema pseudoaugur Lange-Bertalot                                                                                                     ;0,01302;0,07112;0,39521;0,27638;0,1991;0,03234;0,01283;0,863762836;L-P
GPTE;7718;Gomphonema pseudotenellum Lange-Bertalot                                                                                                  ;0;0;0;0,13103;0,20608;0,20754;0,45535;0,921931525;L-P
GPTG;38626;Gomphonema parvulum var, tergestina (Grunow in Van Heurck) Cleve                                                                          ;0,00001;0,00121;0,00433;0,02141;0,11526;0,48957;0,36822;1,047606175;T-Cor
GPUM;7719;Gomphonema pumilum (Grunow) Reichardt et Lange-Bertalot var, pumilum                                                                      ;0,00001;0,00188;0,00728;0,03128;0,09177;0,18862;0,67916;1,201292369;L-P
GPUS;;Gomphonema pusillum (Grunow) Kulikovskiy et Kociolek                                                                                      ;0,01345;0,00026;0,06532;0,09601;0,3938;0,27724;0,15393;0,845147551;T-Cor
GPUT;14136;Gomphonema pumilum f, anormale                                                                                                            ;0,84623;0,11048;0,02177;0,01822;0,00319;0,0001;0,00001;1,435805882;T-Cor
GPVL;14137;Gomphonema parvulius Lange-Bertalot et Reichardt                                                                                          ;0,00102;0,00047;0,00036;0,00907;0,09768;0,11391;0,77749;1,335259502;L-P
GPXS;20693;Gomphonema parvulum var, exilissimum Grunow in Van Heurck                                                                                 ;0,00017;0,00454;0,00467;0,04676;0,09836;0,28578;0,55972;1,073038806;T-Cor
GRHB;7721;Gomphonema rhombicum M, Schmidt                                                                                                           ;0,00005;0;0;0,00011;0,00183;0,23983;0,75817;1,340686846;L-P
GRHO;30828;Gomphonema rhombicum Fricke var, rhombicum                                                                                                ;0,00005;0;0;0,00011;0,00183;0,23983;0,75817;1,340686846;T-Cor
GROS;14193;Gomphonema rosenstockianum Lange-Bertalot et Reichardt                                                                                    ;0;0;0;0,00002;0,0008;0,00963;0,98956;1,650273033;L-P
GRSI;43213;Grunowia (Grunovia) sinuata (Thwaites in W, Smith) Rabenhorst                                                                             ;0;0,01011;0,05692;0,5525;0,32742;0,05304;0;1,089346909;T-Cor
GRSO;32158;Grunowia solgensis (Cleve-Euler) Aboal                                                                                                    ;0,00088;0,00257;0,05141;0,46388;0,4002;0,08056;0,00048;1,040991469;T-Cor
GSAG;7722;Gomphonema sagitta Schumann                                                                                                               ;0;0;0;0,38359;0,54198;0,02146;0,05297;1,123578859;T-Cor
GSAR;14183;Gomphonema sarcophagus Gregory                                                                                                            ;0;0;0,06515;0,41914;0,35945;0,13285;0,02342;0,951598518;L-P
GSBO;29100;Gomphonema subclavatum var, bonaerensis Frenguelli                                                                                        ;0,00022;0,00202;0,07707;0,12449;0,28846;0,2792;0,22854;0,769809209;T-Cor
GSCA;7765;Gyrosigma scalproides (Rabenhorst)Cleve var, scalproides                                                                                  ;0,03814;0,04639;0,65363;0,22719;0,0317;0,00262;0,00033;1,173587336;T-Cor
GSCH;30821;Gomphonema schweickerdtii Cholnoky                                                                                                        ;0;0;0,00087;0,01824;0,06644;0,20642;0,70804;1,250520839;T-Cor
GSCI;14104;Gyrosigma sciotoense (Sullivan et Wormley) Cleve                                                                                          ;0,00005;0,00007;0,00502;0,10408;0,72187;0,16828;0,00063;1,263539914;T-Cor
GSCL;7727;Gomphonema subclavatum Grunow var, subclavatum                                                                                            ;0,00022;0,00202;0,07707;0,12449;0,28846;0,2792;0,22854;0,769809209;T-Cor
GSCT;14185;Gyrosigma scalproides f, anormale                                                                                                         ;0,84623;0,11048;0,02177;0,01822;0,00319;0,0001;0,00001;1,435805882;T-Cor
GSET;38655;Gomphonema semiapertum var, tergestina Grunow in Van Heurck                                                                               ;0,00001;0,00121;0,00433;0,02141;0,11526;0,48957;0,36822;1,047606175;T-Cor
GSFO;28994;Gomphonema subclavatum var, fossilis Frenguelli                                                                                           ;0,00022;0,00202;0,07707;0,12449;0,28846;0,2792;0,22854;0,769809209;T-Cor
GSHO;14111;Geissleria schoenfeldii (Hustedt) Lange-Bertalot et Metzeltin var, schoenfeldii                                                           ;0;0;0;0;0,28138;0,54741;0,17121;1,074844032;L-P
GSML;14197;Geissleria similis (Krasske) Lange-Bertalot et Metzeltin                                                                                  ;0;0;0,01621;0,34489;0,60834;0,01889;0,01166;1,181348422;L-P
GSMO;30819;Gomphonema subclavatum var, montana (Schumann) Cleve                                                                                      ;0,00022;0,00202;0,07707;0,12449;0,28846;0,2792;0,22854;0,769809209;T-Cor
GSNO;7769;Gyrosigma spencerii var, nodifera (Grunow) Cleve                                                                                          ;0,00005;0,00007;0,00502;0,10408;0,72187;0,16828;0,00063;1,263539914;T-Cor
GSOQ;;Gomphonema subclavatum var, obliqua (Grunow) Cleve;0,00022;0,00202;0,07707;0,12449;0,28846;0,2792;0,22854;0,769809209;T-Cor
GSPE;7767;Gyrosigma spencerii (W, Smith) Griffith et Henfrey var, spencerii                                                                         ;0,00524;0,04127;0,06633;0,73709;0,14321;0,00687;0;1,274304617;L-P
GSPP;14208;Gomphonema saprophilum (Lange-Bertalot et Reichardt)Abarca, R, Jahn, J, Zimmermann et Enke                                                ;0,03792;0,81584;0,11279;0,0128;0,0177;0,00294;0;1,388830396;T-Cor
GSPU;32396;Gomphonema separatipunctatum Kobayasi                                                                                                     ;0;0;0,00018;0,00012;0,00186;0,02805;0,96979;1,619978065;T-Cor
GSSA;12871;Gomphonema subtile var, sagitta (Schumann) Grunow in Van Heurck                                                                           ;0;0;0;0,38359;0,54198;0,02146;0,05297;1,123578859;T-Cor
GSTY;7729;Gomphonema subtile var, typicum Cleve-Euler                                                                                               ;0;0;0;0,38359;0,54198;0,02146;0,05297;1,123578859;T-Cor
GSUB;7728;Gomphonema subtile Ehrenberg var, subtile                                                                                                 ;0;0;0;0,38359;0,54198;0,02146;0,05297;1,123578859;L-P
GTAB;44414;Grunowia (Grunovia) tabellaria (Grunow) Rabenhorst                                                                                        ;0,00029;0,00013;0,00414;0,05986;0,32855;0,60108;0,00595;1,160413389;T-Cor
GTEA;30830;Gomphonema tergestinum f, anormale                                                                                                        ;0,84623;0,11048;0,02177;0,01822;0,00319;0,0001;0,00001;1,435805882;T-Cor
GTER;7731;Gomphonema tergestinum (Grunow in Van Heurck) Schmidt in Schmidt et al, var, tergestinum                                                  ;0,00001;0,00121;0,00433;0,02141;0,11526;0,48957;0,36822;1,047606175;L-P
GTNL;7730;Gomphonema tenellum Kützing                                                                                                               ;0,00018;0,00503;0,05361;0,20111;0,43671;0,27796;0,02539;0,925301134;T-Cor
GTRT;14229;Gomphonema truncatum f, anormale                                                                                                          ;0,84623;0,11048;0,02177;0,01822;0,00319;0,0001;0,00001;1,435805882;T-Cor
GTRU;7732;Gomphonema truncatum Ehrenberg var, truncatum                                                                                             ;0,00309;0,0239;0,13089;0,33653;0,32374;0,16339;0,01847;0,831825948;L-P
GUTA;12897;Gomphonema utae Lange-Bertalot et Reichardt                                                                                               ;0;0;0,52042;0,27215;0,13782;0,06961;0;1,017531286;L-P
GVBO;14235;Gomphonema vibrio var, bohemicum (Reichelt et Fricke) Ross in Hartley                                                                     ;0;0;0;0,08806;0,16197;0,71831;0,03166;1,253109299;T-Cor
GVEN;7736;Gomphonema ventricosum Gregory var, ventricosum                                                                                           ;0;0;0;0;0,05672;0,94328;0;1,58045382;L-P
GVIN;7738;Gomphonema vibrio var, intricatum (Kützing) Ross in Hartley                                                                               ;0,00043;0,0175;0,01283;0,21537;0,35406;0,34543;0,05438;0,893852547;T-Cor
GVPU;7740;Gomphonema vibrio var, pumilum (Grunow) Ross in Hartley                                                                                   ;0,00043;0,0175;0,01283;0,21537;0,35406;0,34543;0,05438;0,893852547;T-Cor
GVPV;7739;Gomphonema vibrio var, pulvinatum (Braun ex Rabh,) Ross in Hartley                                                                        ;0,00043;0,0175;0,01283;0,21537;0,35406;0,34543;0,05438;0,893852547;T-Cor
GYAC;7745;Gyrosigma acuminatum (Kützing) Rabenhorst var, acuminatum                                                                                 ;0,00055;0,01347;0,05371;0,40824;0,44914;0,07468;0,00021;1,029980171;L-P
GYAT;7748;Gyrosigma attenuatum (Kützing) Rabenhorst var, attenuatum                                                                                 ;0;0,00003;0,00517;0,11636;0,69926;0,17868;0,0005;1,234319332;L-P
GYKU;7759;Gyrosigma kuetzingii (Grunow) Cleve                                                                                                       ;0,00055;0,01347;0,05371;0,40824;0,44914;0,07468;0,00021;1,029980171;T-Cor
GYOB;12900;Gyrosigma obtusatum (Sullivan et Wormley) Boyer                                                                                           ;0,03814;0,04639;0,65363;0,22719;0,0317;0,00262;0,00033;1,173587336;L-P
GYSC;43214;Gyrosigma spenceri (Quekett) Griffith et Henfrey                                                                                          ;0,00055;0,01347;0,05371;0,40824;0,44914;0,07468;0,00021;1,029980171;T-Cor
HAAA;6734;Hannaea arcus (Ehr,) Patrick var, amphioxys (Ehr,)Patrick                                                                                 ;0;0,0002;0,00107;0,00828;0,02145;0,0767;0,89229;1,502878298;T-Cor
HABU;14286;Hantzschia abundans Lange-Bertalot                                                                                                        ;0,01979;0,12362;0,1683;0,47577;0,16593;0,04508;0,00152;0,903803109;L-P
HACO;28343;Halamphora coffeaeformis (Agardh) Levkov                                                                                                  ;0,04121;0,69036;0,26548;0,0016;0,0012;0;0,00015;1,250648739;T-Cor
HADB;39082;Handmannia balatonis (Pantocsek) Kulikovskiy et Solak in Solak et al,                                                                     ;0,0218;0,05531;0,11556;0,4669;0,22183;0,11767;0,00094;0,900188927;T-Cor
HADP;43215;Handmannia praetermissa (Lund) Kulikovskiy et Solak in Solak et al,                                                                       ;0,0218;0,05531;0,11556;0,4669;0,22183;0,11767;0,00094;0,900188927;T-Cor
HAHA;29139;Hannaea arcus(Ehr,)Patrick var, hattoriana (f, Meister) Ohtsuka                                                                           ;0;0,0002;0,00107;0,00828;0,02145;0,0767;0,89229;1,502878298;T-Cor
HALI;29140;Hannaea arcus (Ehr,)Patrick var, linearis (Holmboe) Foged                                                                                 ;0;0,0002;0,00107;0,00828;0,02145;0,0767;0,89229;1,502878298;T-Cor
HALN;38713;Hannaea arcus (Ehr,)Patrick var, linearis (Holmboe) R,Ross in Hartley                                                                     ;0;0,0002;0,00107;0,00828;0,02145;0,0767;0,89229;1,502878298;T-Cor
HAMP;8797;Hantzschia amphioxys (Ehr,) Grunow in Cleve et Grunow var, amphioxys                                                                      ;0,0717;0,09018;0,33024;0,2914;0,17082;0,04144;0,00421;0,77764346;L-P
HARC;6733;Hannaea arcus (Ehr,) Patrick var, arcus                                                                                                   ;0;0,0002;0,00107;0,00828;0,02145;0,0767;0,89229;1,502878298;T-Cor
HAVT;14310;Hippodonta avittata (Cholnoky) Lange-Bertalot Metzeltin et Witkowski                                                                      ;0;0;0;0,00819;0,28105;0,69955;0,01121;1,272723118;L-P
HAXE;14311;Hantzschia amphioxys var, xerophila Grunow                                                                                                ;0,0717;0,09018;0,33024;0,2914;0,17082;0,04144;0,00421;0,77764346;T-Cor
HBCP;;Humidophila biceps (Grunow in Van Heurck) Furey, Manoylov & R,L,Lowe;0,00257;0,03797;0,4622;0,25989;0,15465;0,07224;0,01049;0,925108324;T-Cor
HBIC;;Halamphora bicapitata (Hohn & Hellerman) Stepanek & Kociolek                                                                              ;0;0,6446;0,17182;0,16854;0,01504;0;0;1,161394246;T-Cor
HBOD;38415;Handmannia bodanica (Eulenstein ex Grunow) Kociolek et Khursevich                                                                         ;0,0218;0,05531;0,11556;0,4669;0,22183;0,11767;0,00094;0,900188927;T-Cor
HCAP;7777;Hippodonta capitata (Ehr,)Lange-Bertalot, Metzeltin et Witkowski                                                                          ;0,00392;0,02229;0,13581;0,4109;0,36426;0,06174;0,00108;0,946499806;L-P
HCOS;14317;Hippodonta costulata (Grunow)Lange-Bertalot Metzeltin et Witkowski                                                                        ;0;0;0,00452;0,07128;0,53726;0,38085;0,0061;1,116565812;L-P
HCOT;34915;Handmannia comta (Ehrenberg) Kociolek et Khursevich                                                                                       ;0,0218;0,05531;0,11556;0,4669;0,22183;0,11767;0,00094;0,900188927;T-Cor
HDCO;34914;Handmannia comta (Ehrenberg) Kociolek et Khursevich emend, Genkal                                                                         ;0,0218;0,05531;0,11556;0,4669;0,22183;0,11767;0,00094;0,900188927;T-Cor
HDUL;34801;Hippodonta dulcis Potapova                                                                                                                ;0,02902;0,61305;0,14113;0,14343;0,041;0,02435;0,00801;1,090555764;T-Cor
HGAL;44431;Humidophila gallica (W, Sm,) Lowe, Kociolek, You, Wang et Stepanek comb, nov,                                                             ;0,0258;0,22677;0,51345;0,03612;0,18718;0,01068;0;0,99195729;T-Cor
HHAT;;Hannaea hattoriana (Meister) Q, Liu, Glushchenko, Kulikovskiy & Kociolek                                                                  ;0;0,0002;0,00107;0,00828;0,02145;0,0767;0,89229;1,502878298;T-Cor
HHOL;28370;Halamphora holsatica (Hustedt) Levkov                                                                                                     ;0;0,29422;0,3778;0,20967;0,11762;0,00069;0;0,880003884;T-Cor
HHUN;14352;Hippodonta hungarica Grunow) Lange-Bertalot Metzeltin et Witkowski var, hungarica                                                         ;0,03904;0,08168;0,53514;0,18252;0,11201;0,04828;0,00133;0,976967932;L-P
HLAC;28664;Halamphora acutiuscula (Kützing) Levkov                                                                                                   ;0;0,6446;0,17182;0,16854;0,01504;0;0;1,161394246;T-Cor
HLMO;28383;Halamphora montana (Krasske) Levkov                                                                                                       ;0,08522;0,1967;0,26952;0,22829;0,18967;0,03021;0,00038;0,699478221;T-Cor
HLNE;38564;Hannaea linearis (Holmboe) Álvarez-Blanco et S, Blanco                                                                                    ;0;0,0002;0,00107;0,00828;0,02145;0,0767;0,89229;1,502878298;T-Cor
HLUE;14393;Hippodonta lueneburgensis (Grunow) Lange-Bertalot Metzeltin et Witkowski                                                                   ;0;0;0,04518;0,26368;0,66481;0,02633;0;1,210733715;L-P
HNOR;28384;Halamphora normanii (Rabenhorst) Levkov, var, normanii                                                                                    ;0;0,00417;0,15362;0,42864;0,39026;0,02331;0;1,004465159;T-Cor
HOLI;28389;Halamphora oligotraphenta (Lange-Bertalot) Levkov                                                                                         ;0;0,11803;0,51624;0,3021;0,05905;0,00458;0;1,027259897;T-Cor
HPEP;38623;Humidophila perpusilla (Grunow) Lowe, Kociolek, Johansen,Van de Vijver, Lange-Bertalot et Kopalová                                        ;0;0,03075;0,0689;0,06549;0,3068;0,28599;0,24206;0,792180453;T-Cor
HRAD;34819;Handmannia radiosa (Grunow) Kociolek et Khursevich                                                                                        ;0,0218;0,05531;0,11556;0,4669;0,22183;0,11767;0,00094;0,900188927;T-Cor
HSMA;43216;Humidophila schmassmannii (Hustedt) Buczkó et Wojtal                                                                                      ;0;0;0;0;0,15047;0,26148;0,58805;1,113903358;T-Cor
HSMO;28461;Halamphora submontana (Hustedt) Levkov                                                                                                    ;0,08522;0,1967;0,26952;0,22829;0,18967;0,03021;0,00038;0,699478221;T-Cor
HSOL;38572;Himantidium soleirolii Kützing                                                                                                            ;0;0;0,13071;0,13843;0,16621;0,4022;0,16245;0,808894832;T-Cor
HSTU;28462;Halamphora subturgida (Hustedt) Levkov                                                                                                    ;0;0;0,26143;0,47507;0,2635;0;0;1,009500501;T-Cor
HSUT;14385;Hippodonta subtilissima Lange-Bertalot Metzeltin et Witkowski                                                                             ;0;0;0,05912;0,93152;0,00362;0,00574;0;1,562247563;L-P
HTRQ;8661;Hydrosera triquetra Wallich                                                                                                               ;0;0,95285;0,01112;0,01752;0,01851;0;0;1,593436268;L-P
HUCO;38622;Humidophila contenta (Grunow) Lowe, Kociolek, Johansen, Van de Vijver, Lange-Bertalot et Kopalová                                         ;0,00026;0,00591;0,02501;0,32581;0,60877;0,03298;0,00127;1,167435725;T-Cor
HVEN;28472;Halamphora veneta (Kützing) Levkov, var, veneta                                                                                           ;0,19526;0,33128;0,22628;0,20304;0,04179;0,00235;0,00001;0,78661929;T-Cor
HXER;14423;Hantzschia xerophila (Grunow) Lange-Bertalot                                                                                              ;0,0717;0,09018;0,33024;0,2914;0,17082;0,04144;0,00421;0,77764346;T-Cor
IAMP;;Iconella amphioxys (W,Smith) D,Kapustin et O,Kryvosheia                                                                                   ;0;0;0,06481;0,12764;0,75092;0,05664;0;1,293494598;T-Cor
IBIF;43217;Iconella bifrons (Ehrenberg) Ruck et Nakov                                                                                                ;0,01571;0,00727;0,07625;0,1005;0,66852;0,13175;0;1,169910211;T-Cor
IBIS;43218;Iconella biseriata (Brébisson in Brébisson et Godey) Ruck et Nakov                                                                        ;0;0;0,00674;0,22656;0,7413;0,01571;0,00969;1,308143131;T-Cor
ICUR;42883;Iconella curvula (W, Smith) Ruck et Nakov                                                                                                 ;0;0;0;0;0;0,15259;0,84741;1,447286242;T-Cor
IDEL;43219;Iconella delicatissima (Lewis) Ruck et Nakov                                                                                              ;0;0;0,00065;0,00102;0,00357;0,10277;0,892;1,50610109;T-Cor
IHEL;43220;Iconella helvetica (Brun) Ruck et Nakov                                                                                                   ;0;0,0003;0,01402;0,14173;0,69612;0,14531;0,00252;1,224508478;T-Cor
IHIB;43221;Iconella hibernica (Ehrenberg) Ruck et Nakov                                                                                              ;0;0;0;0,00481;0,37069;0,6245;0;1,226191739;T-Cor
ILIN;43222;Iconella linearis (W, Smith) Ruck et Nakov                                                                                                ;0,00048;0,00133;0,02254;0,11303;0,13606;0,2904;0,43615;0,915394632;T-Cor
INEV;44406;Iconella nervosa (A,W,F, Schmidt) Cocquyt et R, Jahn                                                                                      ;0;0,03394;0,07169;0,30509;0,48248;0,1068;0;0,978262909;T-Cor
IROB;43223;Iconella robusta (Ehrenberg) Ruck et Nakov                                                                                                ;0;0;0,09926;0,26068;0,54315;0,09691;0;1,037641381;T-Cor
ISPL;43224;Iconella splendida (Ehrenberg) Ruck et Nakov                                                                                              ;0;0,02026;0,00259;0,44094;0,49468;0,03779;0,00373;1,119428748;T-Cor
ITEN;43225;Iconella tenera (W, Gregory) Ruck et Nakov                                                                                                ;0;0,03394;0,07169;0,30509;0,48248;0,1068;0;0,978262909;T-Cor
KAAM;14451;Karayevia amoena (Hustedt) Bukhtiyarova                                                                                                   ;0;0;0,08847;0,74346;0,10848;0,01718;0,04241;1,279183781;L-P
KAEQ;43226;Kurtkrammeria aequalis (W, Smith) Bahls                                                                                                   ;0;0;0;0,00016;0;0,00018;0,99965;1,665920563;T-Cor
KAKO;14452;Karayevia kolbei (Hustedt) Bukhtiyarova                                                                                                   ;0;0,00657;0,0101;0,03316;0,37064;0,565;0,01453;1,141617565;L-P
KALA;14453;Karayevia laterostrata (Hustedt) Bukhtiyarova                                                                                             ;0;0;0,0021;0,11694;0,8218;0,04951;0,00965;1,39991406;T-Cor
KAMO;32404;Kolbesia amoena (Hustedt) Kingston                                                                                                        ;0;0;0,08847;0,74346;0,10848;0,01718;0,04241;1,279183781;T-Cor
KAPG;32680;Karayevia ploenensis var, gessneri (Hustedt) Bukhtiyarova                                                                                 ;0,00065;0;0,0045;0,07336;0,73395;0,18654;0,00101;1,284057198;T-Cor
KAPL;14426;Karayevia ploenensis (Hustedt) Bukhtiyarova var, ploenensis                                                                               ;0;0,00049;0,01944;0,19069;0,69184;0,09729;0,00024;1,223192444;L-P
KAPT;32498;Karayevia ploenensis f, anormale                                                                                                          ;0,84623;0,11048;0,02177;0,01822;0,00319;0,0001;0,00001;1,435805882;T-Cor
KASU;14427;Karayevia suchlandtii (Hustedt) Bukhtiyarova                                                                                              ;0;0;0,03046;0;0,22411;0,74543;0;1,314057317;L-P
KCLE;32463;Karayevia clevei (Grunow in Cl, & Grun,) Bukhtiyarova var, clevei                                                                         ;0;0,00048;0,03719;0,2913;0,62246;0,04803;0,00054;1,164317519;L-P
KCLR;32709;Karayevia clevei var, rostrata (Hustedt) Bukhtiyarova                                                                                     ;0;0;0;0,08871;0,86633;0,04496;0;1,4648647;T-Cor
KCLV;7778;Karayevia clevei (Grunow in Cl, & Grun,) Round & Bukhtiyarova var, clevei                                                                 ;0;0,00048;0,03719;0,2913;0,62246;0,04803;0,00054;1,164317519;T-Cor
KCRO;14454;Karayevia clevei var, rostrata (Hustedt) Kingston                                                                                         ;0;0;0;0,08871;0,86633;0,04496;0;1,4648647;L-P
KGES;14458;Kolbesia gessneri (Hustedt) Aboal                                                                                                         ;0,00065;0;0,0045;0,07336;0,73395;0,18654;0,00101;1,284057198;L-P
KGET;32687;Kolbesia gessneri f, anormale                                                                                                             ;0,84623;0,11048;0,02177;0,01822;0,00319;0,0001;0,00001;1,435805882;T-Cor
KKLB;;Kolbesia kolbei (Hustedt) F,E,Round & L,N, Bukhtiyarova                                                                                   ;0;0,00657;0,0101;0,03316;0,37064;0,565;0,01453;1,141617565;T-Cor
KKOL;32166;Kolbesia kolbei (Hust,) Round et Bukhtiyarova ex Fourtanier & Kociolek                                                                    ;0;0,00657;0,0101;0,03316;0,37064;0,565;0,01453;1,141617565;T-Cor
KLAT;32405;Karayevia laterostrata (Hust,) Kingston                                                                                                   ;0;0;0,0021;0,11694;0,8218;0,04951;0,00965;1,39991406;L-P
KOBG;14436;Karayevia oblongella (Østrup) M, Aboal                                                                                                    ;0,00001;0,00165;0,00238;0,02368;0,12258;0,34576;0,50394;1,04771735;T-Cor
KOTG;14445;Karayevia oblongellum f, anormale                                                                                                         ;0,84623;0,11048;0,02177;0,01822;0,00319;0,0001;0,00001;1,435805882;T-Cor
KPLN;44422;Kolbesia ploenensis (Hustedt) F,E, Round et Bukhtiyarova                                                                                  ;0;0,00049;0,01944;0,19069;0,69184;0,09729;0,00024;1,223192444;T-Cor
KPLO;32167;Kolbesia ploenensis (Hust,) Kingston                                                                                                      ;0;0,00049;0,01944;0,19069;0,69184;0,09729;0,00024;1,223192444;T-Cor
KROS;;Karayevia rostrata (Hustedt) Kulikovskiy & Genkal                                                                                         ;0;0;0;0,08871;0,86633;0,04496;0;1,4648647;T-Cor
KSUC;32373;Kolbesia suchlandtii (Hustedt) Kingston                                                                                                   ;0;0;0,03046;0;0,22411;0,74543;0;1,314057317;T-Cor
LACD;14506;Luticola acidoclinata Lange-Bertalot in Lange-Bertalot & Metzeltin;0;0,03618;0,05166;0,06401;0,44259;0,21216;0,1934;0,878641232;L-P
LBAL;43227;Lindavia balatonis (Pantocsek) Nakov, Guillory, Julius, Theriot et Alverson                                                               ;0,0218;0,05531;0,11556;0,4669;0,22183;0,11767;0,00094;0,900188927;T-Cor
LBOD;42842;Lindavia bodanica (Eulenstein ex Grunow) Nakov, Guillory, Julius, Theriot et Alverson                                                     ;0,0218;0,05531;0,11556;0,4669;0,22183;0,11767;0,00094;0,900188927;T-Cor
LCHT;41019;Lindavia chantaica (Kuzmina et Genkal) Nakov, Guillory, Julius, Theriot et Alverson                                                       ;0;0;0;0,04127;0,86716;0,09157;0;1,466359767;T-Cor
LCMS;43228;Lindavia comensis (Grunow in Van Heurck) Nakov, Guillory, Julius, Theriot et Alverson                                                     ;0,00457;0,00211;0,01948;0,34795;0,33866;0,27672;0,01051;0,926831315;T-Cor
LCMT;42855;Lindavia comta (Ehrenberg) Nakov, Guillory, Julius, Theriot et Alverson                                                                   ;0,0218;0,05531;0,11556;0,4669;0,22183;0,11767;0,00094;0,900188927;T-Cor
LCOH;7779;Luticola cohnii (Hilse) D,G, Mann in Round Crawford et Mann                                                                               ;0,08533;0,12783;0,13541;0,55551;0,06549;0,0304;0,00004;0,997569443;L-P
LDCO;41023;Lindavia costei (Druart et Straub), Nakov, Guillory, Julius, Theriot et Alverson                                                          ;0;0,0017;0,01525;0,24012;0,39382;0,27673;0,07238;0,894437455;T-Cor
LDDE;43229;Lindavia delicatula (Hustedt), Nakov, Guillory, Julius, Theriot et Alverson                                                               ;0;0,0017;0,01525;0,24012;0,39382;0,27673;0,07238;0,894437455;T-Cor
LDIG;38723;Luticola distinguenda (Hustedt) Levkov, Metzeltin et Pavlov                                                                               ;0,00479;0,14177;0,36758;0,40668;0,0723;0,00198;0,00489;0,949178291;T-Cor
LDKR;43230;Lindavia kuetzingiana var, radiosa (Fricke), Nakov, Guillory, Julius, Theriot et Alverson                                                 ;0;0;0;0,03684;0,26299;0,70017;0;1,264092038;T-Cor
LDPA;42301;Lindavia palustris (Genkal et Kulikovskiy) Nakov, Guillory, Julius, Theriot et Alverson                                                   ;0;0;0;0,04127;0,86716;0,09157;0;1,466359767;T-Cor
LEXI;43231;Lemnicola exigua (Grunow in Cleve et Grunow 1880) Kulikovskiy, Witkowski et Pli?ski                                                       ;0;0,07126;0,30533;0,454;0,0901;0,07542;0,00388;0,936181859;T-Cor
LFRQ;38981;Luticola frequentissima Levkov, Metzeltin et Pavlov                                                                                       ;0,16089;0,66205;0,13192;0,02958;0,0119;0,0035;0,00015;1,172548648;T-Cor
LGLO;44430;Lindavia glomerata (H, Bachmann) Adesalu et Julius                                                                                        ;0;0,00729;0,0028;0,01764;0,42621;0,52996;0,0161;1,148128626;T-Cor
LGOE;7782;Luticola goeppertiana (Bleisch in Rabenhorst)D,G, Mann in Round Crawford et Mann                                                          ;0,11358;0,29164;0,33725;0,17203;0,07514;0,01027;0,0001;0,797875758;L-P
LGOP;44420;Luticola goeppertiana (Bleisch) D,G,Mann ex J,Rarick, S,Wu, S,S,Lee et Edlund                                                             ;0,11358;0,29164;0,33725;0,17203;0,07514;0,01027;0,0001;0,797875758;T-Cor
LGOT;14524;Luticola goeppertiana f, anormale                                                                                                         ;0,84623;0,11048;0,02177;0,01822;0,00319;0,0001;0,00001;1,435805882;T-Cor
LHUN;14500;Lemnicola hungarica (Grunow) Round et Basson var, hungarica                                                                               ;0,23732;0,32221;0,26065;0,14338;0,02984;0,00659;0,00002;0,803495135;L-P
